index,x-pt,y-pt,z-pt,x-field,y-field,z-field,magnitude,inside_csf,inside_encap,frequency
0.0,16.22625650740586,17.365154096203185,16.01435761634861,0.17350548567846236,-0.1870138622664171,-0.1683739203358786,0.44575498376496947,0.0,0.0,4160.0
0.0,15.937123712692276,17.444982989564554,16.008919344029934,0.20114201309780397,-0.2191404272358356,-0.1885823813804118,0.5136238816289711,0.0,0.0,4160.0
0.0,15.641266899496982,17.526668368818047,16.003354600261986,0.19816890843376003,-0.20491847685989278,-0.20695376796495366,0.5137240958224903,0.0,0.0,4160.0
0.0,15.345840882408924,17.578677691295503,15.999053576788151,0.20644727030973653,-0.24419640006604115,-0.21727931436585698,0.5637983021978417,0.0,0.0,4160.0
0.0,15.044203183919427,17.631780571288033,15.994662119209078,0.21812002066948463,-0.2851502696469554,-0.21242327632809938,0.6083385673225504,0.0,0.0,4160.0
0.0,14.747649360662184,17.67694343516281,15.990643955680786,0.2236961177981879,-0.3090915673005253,-0.23195963309844977,0.6511803431223995,0.0,0.0,4160.0
0.0,14.444198936864073,17.723156598197463,15.986532346489046,0.22940189160430277,-0.3335896393181313,-0.2519503237471798,0.6954077151342839,0.0,0.0,4160.0
0.0,14.144346688915746,17.724764353330517,15.977256327743525,0.23178183755206408,-0.3533713258697988,-0.26934690181446386,0.7308310212164344,0.0,0.0,4160.0
0.0,13.839693063281365,17.726397852608137,15.967831776946886,0.23419989233324442,-0.37346976625289957,-0.2870220422147548,0.7671328028281558,0.0,0.0,4160.0
0.0,13.540172664530864,17.71347983069424,15.956847449831685,0.21577194871552555,-0.4019541867853922,-0.30174667989234816,0.7976651454895238,0.0,0.0,4160.0
0.0,13.233686675111748,17.700261389666068,15.94560767324869,0.2198886012965987,-0.42926114528014503,-0.309171784047697,0.835466226596209,0.0,0.0,4160.0
0.0,12.93734436447492,17.653748244912723,15.941393139872401,0.20703669604440156,-0.44539012831878866,-0.32291865901618716,0.8572147246782843,0.0,0.0,4160.0
0.0,12.63416574337386,17.6061620900397,15.937081381572138,0.1834184376540509,-0.47042382026531027,-0.33371338620374136,0.8826309333826879,0.0,0.0,4160.0
0.0,12.338591681616304,17.55491424831686,15.94018504632391,0.16703785502922905,-0.4814859086424662,-0.33805547400272923,0.8918669742942488,0.0,0.0,4160.0
0.0,12.0370296793744,17.5026281929417,15.943351587228298,0.1281010523752116,-0.49408077596602296,-0.3467284575879096,0.8998606656549973,0.0,0.0,4160.0
0.0,11.746150623356666,17.43571670971818,15.973554702681174,0.12342872350712393,-0.5154729515313196,-0.34297460620180925,0.9206920623821268,0.0,0.0,4160.0
0.0,11.448506938129215,17.36724914548946,16.00446021616784,0.09833408235920865,-0.5261978233419647,-0.3465787303935998,0.929991071371436,0.0,0.0,4160.0
0.0,11.162239301090933,17.290477301073217,16.050902910851143,0.05136748560578774,-0.5391951124796684,-0.3166759692397078,0.9149862313954333,0.0,0.0,4160.0
0.0,10.87050338048668,17.212238961109335,16.098232753752537,0.004320370957561068,-0.5406292535137357,-0.31083721397507097,0.9094664336806735,0.0,0.0,4160.0
0.0,10.589850432456766,17.126243285259143,16.160189726703027,-0.0044973311244940195,-0.5290600803968072,-0.2857656700226867,0.876927531479782,0.0,0.0,4160.0
0.0,10.30267067168197,17.038247709970577,16.223587559489573,-0.017517468273597233,-0.5333652351933665,-0.27428529159797915,0.8750228102140755,0.0,0.0,4160.0
