index,x-pt,y-pt,z-pt,potential,inside_csf,inside_encap,frequency
0.0,16.22625650740586,17.365154096203185,16.01435761634861,1.2633883784251014,0.0,0.0,4160.0
0.0,15.937123712692276,17.444982989564554,16.008919344029934,1.330514326124599,0.0,0.0,4160.0
0.0,15.641266899496982,17.526668368818047,16.003354600261986,1.404610911987766,0.0,0.0,4160.0
0.0,15.345840882408924,17.578677691295503,15.999053576788151,1.4751447470645478,0.0,0.0,4160.0
0.0,15.044203183919427,17.631780571288033,15.994662119209078,1.5536294134522446,0.0,0.0,4160.0
0.0,14.747649360662184,17.67694343516281,15.990643955680786,1.6316665759676656,0.0,0.0,4160.0
0.0,14.444198936864073,17.723156598197463,15.986532346489046,1.7142683088324147,0.0,0.0,4160.0
0.0,14.144346688915746,17.724764353330517,15.977256327743525,1.781546248875626,0.0,0.0,4160.0
0.0,13.839693063281365,17.726397852608137,15.967831776946886,1.8504996441322217,0.0,0.0,4160.0
0.0,13.540172664530864,17.71347983069424,15.956847449831685,1.9100099253877918,0.0,0.0,4160.0
0.0,13.233686675111748,17.700261389666068,15.94560767324869,1.9670577888364302,0.0,0.0,4160.0
0.0,12.93734436447492,17.653748244912723,15.941393139872401,2.008642429594739,0.0,0.0,4160.0
0.0,12.63416574337386,17.6061620900397,15.937081381572138,2.042383937708506,0.0,0.0,4160.0
0.0,12.338591681616304,17.55491424831686,15.94018504632391,2.0688403892640417,0.0,0.0,4160.0
0.0,12.0370296793744,17.5026281929417,15.943351587228298,2.0894247909580286,0.0,0.0,4160.0
0.0,11.746150623356666,17.43571670971818,15.973554702681174,2.10434326009123,0.0,0.0,4160.0
0.0,11.448506938129215,17.36724914548946,16.00446021616784,2.1123415791134974,0.0,0.0,4160.0
0.0,11.162239301090933,17.290477301073217,16.050902910851143,2.107549513295058,0.0,0.0,4160.0
0.0,10.87050338048668,17.212238961109335,16.098232753752537,2.0901246782053167,0.0,0.0,4160.0
0.0,10.589850432456766,17.126243285259143,16.160189726703027,2.062063682962239,0.0,0.0,4160.0
0.0,10.30267067168197,17.038247709970577,16.223587559489573,2.030774145443423,0.0,0.0,4160.0
0.0,10.037476768827313,16.930736473214097,16.31366268291334,1.9893530767027034,0.0,0.0,4160.0
0.0,9.767359702667632,16.821229355820922,16.40540999614827,1.9386529699671051,0.0,0.0,4160.0
0.0,9.51282269544918,16.702608284739565,16.51095597405262,1.879620992960121,0.0,0.0,4160.0
0.0,9.254725946232227,16.582328278428122,16.61797802985396,1.8127616996927112,0.0,0.0,4160.0
0.0,9.046165755934156,16.431768139835363,16.77236161605975,1.7427809718095022,0.0,0.0,4160.0
0.0,8.832755328652407,16.277706602670676,16.930335518223817,1.6658367935904008,0.0,0.0,4160.0
0.0,8.671994558251741,16.112932328115427,17.122703429126275,1.592821664562812,0.0,0.0,4160.0
0.0,8.51141888327347,15.948347770018193,17.314849853035142,1.5163796017964701,0.0,0.0,4160.0
0.0,8.386575483516543,15.774634620632241,17.525177852282855,1.4413646335399597,0.0,0.0,4160.0
0.0,8.259591645937618,15.597943162454252,17.739111921258658,1.3642839817469041,0.0,0.0,4160.0
0.0,8.197273934307493,15.391581610119072,17.94775374960331,1.290888700182013,0.0,0.0,4160.0
0.0,8.13350697356969,15.18042095191563,18.161247713490862,1.216562741501882,0.0,0.0,4160.0
1.0,16.307312674791515,17.165531196470454,16.197477656773955,1.2419285973833094,0.0,0.0,4160.0
1.0,16.018255962031283,17.24563315479894,16.1920102003095,1.3060436611227666,0.0,0.0,4160.0
1.0,15.722477000137095,17.32759794936763,16.186415593694708,1.3798660688593536,0.0,0.0,4160.0
1.0,15.427013318394701,17.379382971536543,16.181996968320917,1.4480704362963235,0.0,0.0,4160.0
1.0,15.125341146723096,17.432256136880024,16.177485495694388,1.5199060372605337,0.0,0.0,4160.0
1.0,14.828766978663456,17.477271912111597,16.173321024535596,1.5927981769818509,0.0,0.0,4160.0
1.0,14.52529573692801,17.523334565836926,16.16905970521032,1.6726437158692309,0.0,0.0,4160.0
1.0,14.225441941577278,17.52423242967235,16.159737942807492,1.7386984175669002,0.0,0.0,4160.0
1.0,13.920775690847055,17.525144703629344,16.150266572274578,1.8063811186910912,0.0,0.0,4160.0
1.0,13.621274287453602,17.511762593671673,16.139319951863094,1.8641286980972025,0.0,0.0,4160.0
1.0,13.314807735144024,17.498069271854522,16.128118758883897,1.9183760224121422,0.0,0.0,4160.0
1.0,13.018608743824716,17.450656423235642,16.123855036652312,1.9565781324175333,0.0,0.0,4160.0
1.0,12.715561866191411,17.402147427071768,16.11949274053637,1.9907506888298132,0.0,0.0,4160.0
1.0,12.420145521072879,17.349997591018383,16.12258751620079,2.016416286074932,0.0,0.0,4160.0
1.0,12.1187634916103,17.296794632936958,16.1257447882539,2.037554491127373,0.0,0.0,4160.0
1.0,11.828171629665936,17.22864695209422,16.155948486164323,2.048316018122257,0.0,0.0,4160.0
1.0,11.530821817443796,17.158914441464443,16.18685459565406,2.053817861101206,0.0,0.0,4160.0
1.0,11.2448529470277,17.08102365710775,16.233274751462094,2.0474242721658964,0.0,0.0,4160.0
1.0,10.953420415429632,17.001644707782948,16.280581801018318,2.0309778777009626,0.0,0.0,4160.0
1.0,10.673109567755883,16.91458440710743,16.342600610445086,2.003704267201762,0.0,0.0,4160.0
1.0,10.38627986315949,16.82549944827667,16.406061717765496,1.9698343661845175,0.0,0.0,4160.0
1.0,10.121653279432648,16.71644532257649,16.49595036472845,1.9286757132861352,0.0,0.0,4160.0
1.0,9.85216677870425,16.605388397338505,16.587489833606078,1.8795105538470216,0.0,0.0,4160.0
1.0,9.598149333475181,16.485143127463164,16.69244798046426,1.8217266791301503,0.0,0.0,4160.0
1.0,9.340499171355306,16.363178223637004,16.79890713932016,1.7553243141531758,0.0,0.0,4160.0
