time,E1C1,E1C2,E1C3,E1C4,E1C5,E1C6,E1C7,E1C8
0.0,-0.09320561707522979,-0.015129396447811427,-0.015159200670005403,-0.014708336956634647,-0.005126837145138921,-0.005215943250858589,-0.004793723285973011,-0.0022273455725512277
2.000080003200128e-06,-0.09320444143648667,-0.015129180367579593,-0.015158986282143568,-0.0147081257846644,-0.005126743871307705,-0.005215855061232167,-0.004793638199656301,-0.0022273012878156768
4.000160006400256e-06,-0.09320883456212067,-0.015129929957957713,-0.015159732402909751,-0.01470885456640195,-0.005127033565873697,-0.0052161335373294765,-0.004793900074821016,-0.0022274278596517705
6.000240009600385e-06,-0.09320758571497868,-0.01512970173867774,-0.015159505916416,-0.014708631617157214,-0.005126935822959815,-0.005216041018116164,-0.004793810966040131,-0.0022273817026384236
8.000320012800513e-06,-0.09321190557954344,-0.015130439181269878,-0.015160239929843083,-0.014709348613143615,-0.005127221045218373,-0.005216315161507719,-0.004794068815842236,-0.0022275064008479973
1.000040001600064e-05,-0.09321058341988508,-0.015130198805669107,-0.015160001327505336,-0.014709113869868002,-0.005127118826847204,-0.0052162183065422325,-0.004793975678867659,-0.0022274583688907355
1.200048001920077e-05,-0.09321482992171226,-0.015130924083608948,-0.015160723216786076,-0.014709819063740965,-0.005127399570573644,-0.005216488111207764,-0.004794229497712414,-0.002227581190870388
1.4000560022400898e-05,-0.09321343435032083,-0.01513067153522766,-0.015160472482202255,-0.014709572510466631,-0.005127292870670553,-0.005216386914614989,-0.004794132327084277,-0.0022275312814285793
1.6000640025601025e-05,-0.09321760739264578,-0.015131384632462332,-0.015161182231340007,-0.014710265886653058,-0.0051275691299404085,-0.005216652374824613,-0.004794382109646768,-0.0022276522247004727
1.8000720028801153e-05,-0.09321613831521294,-0.015131119895655234,-0.015160919348919614,-0.01471000750820227,-0.0051274579427313645,-0.005216546831020129,-0.004794280900175343,-0.0022276004353591894
2.000080003200128e-05,-0.09322023780618602,-0.015131820796947238,-0.015161616942730275,-0.014710689051920047,-0.005127729711921092,-0.0052168079413349895,-0.0047945266414011365,-0.0022277194975713487
2.200088003520141e-05,-0.09321869513331958,-0.015131543856884469,-0.015161341897695432,-0.014710418833906195,-0.005127614031932983,-0.005216698045025447,-0.0047944213881672,-0.002227665826041538
2.400096003840154e-05,-0.09322272098600934,-0.015132232547812218,-0.015162027321807969,-0.014711088531164774,-0.005127881305720166,-0.005216954800297918,-0.004794663083272503,-0.0022277830049679255
2.6001040041601667e-05,-0.0932211046332422,-0.015131943390481057,-0.015161740100195007,-0.014710806459993868,-0.005127761127781462,-0.005216840546481615,-0.0047945537816278866,-0.0022277274490866495
2.8001120044801795e-05,-0.09322505676564587,-0.015132619857440638,-0.015162413341053149,-0.014711464297595867,-0.00512802390114543,-0.005217092941855929,-0.004794791426100112,-0.0022278427426274338
3.0001200048001923e-05,-0.09322336665344182,-0.01513231846964633,-0.015162113929713577,-0.014711170360467547,-0.005127899220386489,-0.005216974325823169,-0.004794678071667982,-0.002227785300358028
3.200128005120205e-05,-0.09322724498849251,-0.015132982699852656,-0.015162774974577006,-0.014711816326009939,-0.005128157488608785,-0.005217222356735812,-0.0047949116612661805,-0.002227898706539765
3.400136005440218e-05,-0.09322548104225364,-0.01513266906921969,-0.015162463361178673,-0.014711510510918513,-0.005128028300462276,-0.005217099374069271,-0.004794794249941433,-0.0022278393759720054
3.6001440057602306e-05,-0.09322928550782397,-0.015133321050707079,-0.015163112198123673,-0.01471214459279331,-0.00512828205912686,-0.005217343036249252,-0.004795023780696469,-0.0022279508929477472
3.800152006080244e-05,-0.0932274476578968,-0.015132995165680256,-0.015162788371151833,-0.014711826888528932,-0.005128148359328241,-0.005217215682824432,-0.004794902308646112,-0.002227889672298034
4.000160006400256e-05,-0.0932311781868085,-0.015133634887304136,-0.015163424989072869,-0.014712449075924557,-0.005128397604322078,-0.0052174549722938,-0.0047951277768612105,-0.002227999298347552
4.200168006720269e-05,-0.09322926636849065,-0.01513329673714952,-0.015163088937831255,-0.01471211947207411,-0.005128259388909905,-0.005217323244279365,-0.0047950022405246874,-0.002227936185959057
4.400176007040282e-05,-0.09323292289851774,-0.015133924188586865,-0.01516371332644143,-0.014712729754976063,-0.005128504116423168,-0.005217558157353424,-0.004795223642775563,-0.0022280439194889506
4.600184007360295e-05,-0.09323093705206166,-0.015133573763392633,-0.015163365041052887,-0.01471238824192391,-0.005128361381739358,-0.005217422051211419,-0.004795094038865027,-0.002227978913831729
4.800192007680308e-05,-0.09323451952593748,-0.015134188935143065,-0.015163977190885143,-0.01471298661111577,-0.005128601588265856,-0.005217652584499126,-0.004795311372000313,-0.002228084753375567
5.0002000080003204e-05,-0.09323245959655696,-0.015133826225820437,-0.015163616662292757,-0.014712633180044742,-0.005128454330956096,-0.005217512096985423,-0.004795177697500892,-0.002228017853046728
5.2002080083203335e-05,-0.093235967961978,-0.01513442910920702,-0.015164216564700574,-0.014713219627108913,-0.005128690013293542,-0.005217738247389642,-0.0047953909586423635,-0.002228121797265187
5.400216008640346e-05,-0.09323383389985372,-0.015134054107491109,-0.015163843784668401,-0.01471285427000115,-0.005128538230307603,-0.00521759337555418,-0.004795253210812511,-0.002228053000989004
5.600224008960359e-05,-0.09323726810948418,-0.015134644694661028,-0.015164431431826471,-0.01471342878731948,-0.005128769385557806,-0.005217815140271934,-0.004795462397355301,-0.0022281550486699647
