index,x-pt,y-pt,z-pt,x-field,y-field,z-field,magnitude,inside_csf,inside_encap,frequency
0.0,-14.0380625131414,19.629954637465083,24.492026631442325,-0.06986281461499015,-0.17406629845862287,0.43539751237531676,0.6913661572189899,0.0,0.0,4160.0
0.0,-13.920291712813523,19.4473162783682,24.285209638967025,-0.06684737438882536,-0.1912923228543158,0.4502352727714476,0.7200295594811168,0.0,0.0,4160.0
0.0,-13.800862692819512,19.262106360633677,24.075480651300573,-0.06139948550684081,-0.2134038117856022,0.4618515386637644,0.7473423586263893,0.0,0.0,4160.0
0.0,-13.686067774579813,19.082809814000633,23.864116332855367,-0.06453265353816763,-0.23441376887763932,0.478717618825718,0.783011812098833,0.0,0.0,4160.0
0.0,-13.569656026505752,18.900987963893886,23.649775052178537,-0.0719645179217405,-0.25530847217192737,0.48600265582155655,0.8074489586620623,0.0,0.0,4160.0
0.0,-13.460139013098743,18.72358123516867,23.434060248844535,-0.0632363614272237,-0.2834040699675206,0.4856359725323883,0.8251639997852348,0.0,0.0,4160.0
0.0,-13.349112689564203,18.543729573331905,23.215372569176516,-0.06624963984977458,-0.308869216189312,0.4953789650854748,0.8568133381926103,0.0,0.0,4160.0
0.0,-13.246107490276096,18.369231314917062,22.994148052610644,-0.06510935422479949,-0.3305092223687774,0.5079116427903866,0.8888070368674976,0.0,0.0,4160.0
0.0,-13.141721661257467,18.192394169871672,22.76995835422093,-0.06310646311115112,-0.36708536718082363,0.5018650157939094,0.9114334659619717,0.0,0.0,4160.0
0.0,-13.04701971570059,18.022243247488788,22.54174747560206,-0.0654398776523702,-0.3922636671851377,0.4977270247743351,0.9290928190234978,0.0,0.0,4160.0
0.0,-12.950983939924598,17.849695833241352,22.310322359256165,-0.05684166297309045,-0.42229568425157893,0.4914554344684093,0.9485830633972481,0.0,0.0,4160.0
0.0,-12.864818724363804,17.678198194316106,22.079748910068215,-0.051791272084206384,-0.4513800491167932,0.4781953782376593,0.9619455945402428,0.0,0.0,4160.0
0.0,-12.777441692319558,17.504288634706043,21.845932705615816,-0.05570068957936357,-0.4817884977357921,0.45740543876684775,0.9722214179212225,0.0,0.0,4160.0
0.0,-12.699826548943856,17.33602698295252,21.610000711032747,-0.05259781256888697,-0.5131601195893493,0.4415573864193299,0.9902438361438759,0.0,0.0,4160.0
0.0,-12.621170498212294,17.1655087510601,21.370904600041936,-0.046339226464512134,-0.5372888725561209,0.4270414299144429,1.003172618191234,0.0,0.0,4160.0
