time,E1C1,E1C2,E1C3,E1C4,E1C5,E1C6,E1C7,E1C8
0.0,-0.09278872338163253,-0.015537888212463047,-0.015569078680497133,-0.015579327604985215,-0.005586245193196324,-0.005779493477530882,-0.005810414030577178,-0.0026939825280028174
2.000080003200128e-06,-0.09278754842326506,-0.01553766746819499,-0.015568858981700068,-0.015579106418074756,-0.005586147281106038,-0.00577939894926532,-0.005810318437888374,-0.0026939319302288476
4.000160006400256e-06,-0.09279193108505786,-0.015538438122138851,-0.015569626971071464,-0.015579878491949806,-0.0055864588818300654,-0.005779705398322486,-0.005810627965264964,-0.002694084569132295
6.000240009600385e-06,-0.09279068314092673,-0.01553820486569912,-0.015569394796920846,-0.015579644770627565,-0.005586356107770085,-0.005779606048237579,-0.005810527504945995,-0.0026940316496463844
8.000320012800513e-06,-0.09279499276444313,-0.015538962998463687,-0.015570150301959055,-0.015580404301067451,-0.0055866628430159895,-0.005779907672001018,-0.00581083216118423,-0.0026941819651633706
1.000040001600064e-05,-0.09279367173074321,-0.015538717212046292,-0.015569905634704196,-0.01558015802749629,-0.0055865552000509315,-0.005779803493228717,-0.005810726826300264,-0.0026941267206553694
1.200048001920077e-05,-0.09279790821462043,-0.015539462806244358,-0.015570648638076107,-0.015580904997083398,-0.005586857063046428,-0.0057801002849919595,-0.005811026604628451,-0.002694274709553597
1.4000560022400898e-05,-0.09279651399243283,-0.015539204472881294,-0.015570391460801851,-0.015580646154265616,-0.005586744544567303,-0.005779991270987496,-0.0058109163885710045,-0.002694217136869142
1.6000640025601025e-05,-0.09280067724019679,-0.015539937511964304,-0.015571121946010343,-0.015581380546422458,-0.005587041528866757,-0.0057802832243675035,-0.005811211282544018,-0.0026943627960722178
1.8000720028801153e-05,-0.0927992097354964,-0.015539666615527066,-0.015570852242638343,-0.015581109118201422,-0.005586924128591563,-0.00578016936890989,-0.005811096179031615,-0.002694302892213019
2.000080003200128e-05,-0.09280329965557316,-0.015540387083786952,-0.015571570194024257,-0.015581830917192476,-0.005587216228076752,-0.005780456477847875,-0.005811386182531725,-0.002694446218800809
2.200088003520141e-05,-0.09280175877923615,-0.01554010360898779,-0.01557128794931432,-0.015581546888253651,-0.005587093940050938,-0.005780337775040408,-0.005811266185610287,-0.002694383980924849
2.400096003840154e-05,-0.09280577528495526,-0.015540811491557642,-0.015571993352056999,-0.015582256079186016,-0.0055873811489312196,-0.005780620033801984,-0.0058115512928473044,-0.0026945249721335813
2.6001040041601667e-05,-0.09280416095276821,-0.015540515423951087,-0.01557169855160856,-0.01558195943505868,-0.005587253967528307,-0.005780496478072835,-0.005811426396890816,-0.002694460397555439
2.8001120044801795e-05,-0.09280810396237317,-0.015541210706806852,-0.015572391391727542,-0.015582656003883776,-0.005587536280341371,-0.005780773881248735,-0.005811706602402872,-0.0026945990507780395
3.0001200048001923e-05,-0.09280641609503873,-0.015540902032790684,-0.015572084021980768,-0.015582346730941948,-0.0055874042002633335,-0.0057806454673513495,-0.0058115768021137345,-0.0026945321369690567
3.200128005120205e-05,-0.09281028553169397,-0.01554158470275245,-0.015572764286337177,-0.015583030664456878,-0.005587681611875637,-0.005780918009857907,-0.005811852100767687,-0.00269466844975536
3.400136005440218e-05,-0.09280852405483783,-0.015541263409568986,-0.015572444334574036,-0.01558270874992055,-0.005587544628153371,-0.005780784732871462,-0.005811717391177213,-0.002694599194343874
3.6001440057602306e-05,-0.09281231984663263,-0.015541933454301646,-0.015573112010871111,-0.015583380035768538,-0.0055878171337603874,-0.005781052409950834,-0.0058119877781689575,-0.0026947331644007763
3.800152006080244e-05,-0.0928104846908108,-0.015541599530038848,-0.015572779465216595,-0.015583045467704877,-0.005587675241754227,-0.005780914265280702,-0.005811848154637801,-0.0026946615651723222
4.000160006400256e-05,-0.09281420677076845,-0.015542256938053592,-0.015573434542001328,-0.015583704094377085,-0.005587942836881104,-0.005781177072501499,-0.005812113625492845,-0.002694793190364043
4.200168006720269e-05,-0.09281229787147272,-0.01554191037164609,-0.015573089391424497,-0.015583356861701364,-0.005587796032281079,-0.005781034055879612,-0.0058119690837114355,-0.002694719245261569
4.400176007040282e-05,-0.0928159461775542,-0.01554255513230112,-0.01557373185808813,-0.015584002818537397,-0.005588058712782872,-0.005781291989137145,-0.005812229634285142,-0.0026948485236097932
4.600184007360295e-05,-0.09281396347521634,-0.015542195913530961,-0.01557337409240286,-0.015583642911013787,-0.0055879069916091135,-0.0057811440966222885,-0.0058120801702739285,-0.0026947722307337626
4.800192007680308e-05,-0.09281753795032661,-0.01554282801703257,-0.015574003939182153,-0.015584276188202786,-0.005588164753671162,-0.005781397152138979,-0.0058123357967519735,-0.0026948991604178203
5.0002000080003204e-05,-0.09281548139032526,-0.015542456136530294,-0.015573633549048125,-0.015583903596445481,-0.005588008112274292,-0.005781244380117233,-0.005812181406861861,-0.0026948205180264495
5.2002080083203335e-05,-0.09281898198231806,-0.015543075573933566,-0.015574250767026029,-0.015584524185026899,-0.005588260952412621,-0.005781492554442917,-0.005812432105760527,-0.0026949450973834887
5.400216008640346e-05,-0.0928168515149831,-0.015542691023179074,-0.015573867743949633,-0.015584138900500881,-0.0055880993874740876,-0.005781334899627946,-0.005812272786673229,-0.002694864103892883
5.600224008960359e-05,-0.09282027817666473,-0.015543297786388703,-0.015574472325055993,-0.01558474679236527,-0.005588347302535549,-0.0057815781896401386,-0.005812518554839648,-0.002694986331417966
5.8002320092803715e-05,-0.09281807375727998,-0.015542900557711683,-0.015574076661390782,-0.015584348807386792,-0.005588180811067764,-0.005781415649073396,-0.005812354303567825,-0.0026949029854022033
6.0002400096003846e-05,-3.114950397131335,-0.5545101201724715,-0.5525270571085326,-0.5555638024317003,-0.22813443857582621,-0.22370565613257815,-0.22598702185072603,-0.1131175132833872
6.200248009920397e-05,-3.114948118720145,-0.5545097102590524,-0.5525266487974803,-0.5555633917394379,-0.228134267155173,-0.22370548870362922,-0.22598685266461374,-0.11311742758357855
6.40025601024041e-05,-3.114951397399454,-0.5545102916529904,-0.5525272280840242,-0.5555639742169475,-0.22813450521194634,-0.22370572221695909,-0.22598708856318192,-0.11311754510355732
6.600264010560423e-05,-3.1149490449616617,-0.5545098690488607,-0.5525268071196348,-0.5555635508114223,-0.22813432885978294,-0.22370554989732588,-0.22598691443990457,-0.11311745704884618
6.800272010880436e-05,-3.1149522495988347,-0.5545104377494233,-0.552527373750185,-0.5555641205729993,-0.22813456198400817,-0.22370577851894352,-0.2259871454002698,-0.11311757221342704
7.000280011200448e-05,-3.114949823104612,-0.554510002449466,-0.5525269401273575,-0.5555636844490852,-0.22813438069834155,-0.22370560130665232,-0.22598696633783458,-0.11311748180286219
7.200288011520461e-05,-3.1149529536723017,-0.5545105584519622,-0.5525274940972376,-0.5555642414900309,-0.2281346088881915,-0.22370582503474842,-0.22598719235816997,-0.11311759461117318
7.400296011840474e-05,-3.114950453096788,-0.5545101104519131,-0.552527047811721,-0.5555637926434563,-0.2281344226673607,-0.22370564292815448,-0.22598700835491597,-0.11311750184396187
7.600304012160487e-05,-3.1149535095726195,-0.5545106537525049,-0.5525275891171052,-0.5555643369599256,-0.2281346459213406,-0.22370586176124868,-0.22598722943372673,-0.11311761229528942
7.800312012480499e-05,-3.1149509348959215,-0.5545101930489515,-0.5525271301654976,-0.5555638753872725,-0.22813445476401664,-0.22370567475903572,-0.22598704048832505,-0.11311751717079732
8.000320012800512e-05,-3.1149539172624876,-0.5545107236446527,-0.5525276588034087,-0.5555644069762741,-0.2281346730809632,-0.22370588869597616,-0.22598725662444816,-0.11311762526458632
8.200328013120525e-05,-3.1149512684696843,-0.5545102502350356,-0.5525271871831586,-0.555563932674978,-0.228134476986149,-0.22370569679715702,-0.2259870627359019,-0.11311752778233759
8.400336013440539e-05,-3.114954176714551,-0.5545107681237138,-0.5525277031514708,-0.5555644515343757,-0.22813469036523168,-0.22370590583712116,-0.22598727392850673,-0.11311763351819161
8.600344013760552e-05,-3.1149514537956957,-0.5545102820063271,-0.5525272188608776,-0.5555639645027276,-0.22813448933226288,-0.22370570904103773,-0.22598707509615146,-0.11311753367786913
8.800352014080563e-05,-3.114954287911401,-0.5545107871867017,-0.5525277221583149,-0.555564470631239,-0.2281346977729831,-0.22370591318353186,-0.22598728134473955,-0.11311763705555018
9.000360014400577e-05,-3.1149514908615203,-0.5545102883606919,-0.5525272251965279,-0.5555639708683844,-0.22813449180152717,-0.22370571148985502,-0.225987077568243,-0.11311753485699524
