index,x-pt,y-pt,z-pt,potential,inside_csf,inside_encap,frequency
0.0,-14.0380625131414,19.629954637465083,24.492026631442325,2.2740751414595572,0.0,0.0,4160.0
0.0,-13.920291712813523,19.4473162783682,24.285209638967025,2.3394480819467782,0.0,0.0,4160.0
0.0,-13.800862692819512,19.262106360633677,24.075480651300573,2.406105603395891,0.0,0.0,4160.0
0.0,-13.686067774579813,19.082809814000633,23.864116332855367,2.4732427570421724,0.0,0.0,4160.0
0.0,-13.569656026505752,18.900987963893886,23.649775052178537,2.5410131697811793,0.0,0.0,4160.0
0.0,-13.460139013098743,18.72358123516867,23.434060248844535,2.6060434640598107,0.0,0.0,4160.0
0.0,-13.349112689564203,18.543729573331905,23.215372569176516,2.667584586817345,0.0,0.0,4160.0
0.0,-13.246107490276096,18.369231314917062,22.994148052610644,2.728171148808577,0.0,0.0,4160.0
0.0,-13.141721661257467,18.192394169871672,22.76995835422093,2.786373550458498,0.0,0.0,4160.0
0.0,-13.04701971570059,18.022243247488788,22.54174747560206,2.8417533613843005,0.0,0.0,4160.0
0.0,-12.950983939924598,17.849695833241352,22.310322359256165,2.892936937819716,0.0,0.0,4160.0
0.0,-12.864818724363804,17.678198194316106,22.079748910068215,2.9344883314201096,0.0,0.0,4160.0
0.0,-12.777441692319558,17.504288634706043,21.845932705615816,2.967035733635563,0.0,0.0,4160.0
0.0,-12.699826548943856,17.33602698295252,21.610000711032747,2.9939269898150878,0.0,0.0,4160.0
0.0,-12.621170498212294,17.1655087510601,21.370904600041936,3.0125325087186434,0.0,0.0,4160.0
0.0,-12.550832835459337,16.998431170026986,21.131869675575707,3.0212299349789613,0.0,0.0,4160.0
0.0,-12.479517324063984,16.82903084212692,20.889511638466463,3.0173068954294657,0.0,0.0,4160.0
0.0,-12.41494907761784,16.66043010857158,20.6499187875809,3.002953553820309,0.0,0.0,4160.0
0.0,-12.349471419249918,16.489454716797148,20.406951389499763,2.9768268932256925,0.0,0.0,4160.0
0.0,-12.29377357083369,16.32016333165448,20.165625517289012,2.943562789274425,0.0,0.0,4160.0
0.0,-12.237292984868748,16.148492847002718,19.920908224636968,2.8998974458730804,0.0,0.0,4160.0
0.0,-12.18419708357411,15.975856939904055,19.681371862374508,2.8462373132806387,0.0,0.0,4160.0
0.0,-12.130361160020602,15.800814925915443,19.438496970478678,2.782742603105339,0.0,0.0,4160.0
