time,BrainSurface_free,BrainSurface
0.0,0.0,1.3882845047055723e-09
2.000080003200128e-06,0.0,-1.3882845046393447e-09
4.000160006400256e-06,0.0,1.388284504693229e-09
6.000240009600385e-06,0.0,-1.3882845045918738e-09
8.000320012800513e-06,0.0,1.3882845047641838e-09
1.000040001600064e-05,0.0,-1.388284504532221e-09
1.200048001920077e-05,0.0,1.3882845050752788e-09
1.4000560022400898e-05,0.0,-1.388284504334909e-09
1.6000640025601025e-05,0.0,1.388284504589255e-09
1.8000720028801153e-05,0.0,-1.388284504748551e-09
2.000080003200128e-05,0.0,1.3882845048199865e-09
2.200088003520141e-05,0.0,-1.3882845046953961e-09
2.400096003840154e-05,0.0,1.3882845046765773e-09
2.6001040041601667e-05,0.0,-1.388284504674627e-09
2.8001120044801795e-05,0.0,1.3882845042501949e-09
3.0001200048001923e-05,0.0,-1.3882845048810508e-09
3.200128005120205e-05,0.0,1.388284504657443e-09
3.400136005440218e-05,0.0,-1.3882845047697576e-09
3.6001440057602306e-05,0.0,1.3882845045466366e-09
3.800152006080244e-05,0.0,-1.3882845049142342e-09
4.000160006400256e-05,0.0,1.388284504535105e-09
4.200168006720269e-05,0.0,-1.38828450462139e-09
4.400176007040282e-05,0.0,1.3882845046605321e-09
4.600184007360295e-05,0.0,-1.3882845047498682e-09
4.800192007680308e-05,0.0,1.3882845044966606e-09
5.0002000080003204e-05,0.0,-1.3882845050438364e-09
5.2002080083203335e-05,0.0,1.3882845044611158e-09
5.400216008640346e-05,0.0,-1.3882845047666894e-09
5.600224008960359e-05,0.0,1.3882845046772054e-09
5.8002320092803715e-05,0.0,-1.388284504742975e-09
6.0002400096003846e-05,0.0,0.0030000013882845048
6.200248009920397e-05,0.0,0.0029999986117154958
6.40025601024041e-05,0.0,0.003000001388284505
6.600264010560423e-05,0.0,0.0029999986117154958
6.800272010880436e-05,0.0,0.003000001388284505
7.000280011200448e-05,0.0,0.0029999986117154953
7.200288011520461e-05,0.0,0.003000001388284504
7.400296011840474e-05,0.0,0.002999998611715495
7.600304012160487e-05,0.0,0.0030000013882845048
7.800312012480499e-05,0.0,0.0029999986117154958
8.000320012800512e-05,0.0,0.0030000013882845048
8.200328013120525e-05,0.0,0.0029999986117154945
8.400336013440539e-05,0.0,0.0030000013882845048
8.600344013760552e-05,0.0,0.0029999986117154958
8.800352014080563e-05,-0.0,0.0030000013882845048
9.000360014400577e-05,-0.0,0.0029999986117154958
9.20036801472059e-05,-0.0,0.003000001388284505
9.400376015040603e-05,-0.0,0.0029999986117154945
9.600384015360616e-05,-0.0,0.0030000013882845048
9.800392015680628e-05,-0.0,0.0029999986117154966
0.00010000400016000641,-0.0,0.0030000013882845048
0.00010200408016320654,-0.0,0.0029999986117154953
0.00010400416016640667,-0.0,0.003000001388284505
0.00010600424016960679,-0.0,0.0029999986117154953
0.00010800432017280692,-0.0,0.0030000013882845048
0.00011000440017600705,-0.0,0.002999998611715497
0.00011200448017920718,-0.0,0.0030000013882845048
0.00011400456018240731,-0.0,0.0029999986117154953
0.00011600464018560743,-0.0,0.0030000013882845043
0.00011800472018880756,-0.0,0.002999998611715495
0.00012000480019200769,-0.0,1.3882845047101112e-09
0.00012200488019520782,-0.0,-1.3882845046401677e-09
0.00012400496019840794,-0.0,1.3882845045441544e-09
0.00012600504020160807,0.0,-1.3882845051360724e-09
0.0001280051202048082,0.0,1.3882845044800758e-09
0.00013000520020800833,0.0,-1.388284505185851e-09
0.00013200528021120847,0.0,1.3882845043824216e-09
0.0001340053602144086,0.0,-1.3882845048352854e-09
0.00013600544021760873,0.0,1.3882845045074036e-09
0.00013800552022080883,0.0,-1.38828450495159e-09
0.00014000560022400896,0.0,1.3882845045829728e-09
0.0001420056802272091,0.0,-1.3882845045672044e-09
0.00014400576023040922,0.0,1.38828450465016e-09
0.00014600584023360936,0.0,-1.3882845049931005e-09
0.0001480059202368095,0.0,1.3882845046562754e-09
0.00015000600024000962,0.0,-1.3882845046716633e-09
0.00015200608024320975,0.0,1.3882845044012606e-09
0.00015400616024640988,0.0,-1.3882845048359732e-09
0.00015600624024960998,0.0,1.3882845044836222e-09
0.00015800632025281012,0.0,-1.3882845046514765e-09
0.00016000640025601025,0.0,1.3882845048202371e-09
0.00016200648025921038,0.0,-1.3882845046494615e-09
0.0001640065602624105,0.0,1.3882845044305269e-09
0.00016600664026561064,0.0,-1.388284504854441e-09
0.00016800672026881077,0.0,1.3882845042835646e-09
0.0001700068002720109,0.0,-1.38828450480875e-09
0.00017200688027521103,0.0,1.388284504272536e-09
0.00017400696027841114,0.0,-1.3882845051687777e-09
0.00017600704028161127,0.0,1.3882845045323257e-09
0.0001780071202848114,0.0,-1.3882845048970563e-09
0.00018000720028801153,0.0,1.3882845046624532e-09
0.00018200728029121166,0.0,-1.3882845045719313e-09
0.0001840073602944118,0.0,1.3882845046446006e-09
0.00018600744029761192,0.0,-1.38828450497621e-09
0.00018800752030081206,0.0,1.3882845045424792e-09
0.0001900076003040122,0.0,-1.3882845048780864e-09
0.00019200768030721232,0.0,1.3882845048619322e-09
0.00019400776031041242,0.0,-1.3882845050569958e-09
0.00019600784031361255,0.0,1.3882845044068625e-09
0.00019800792031681268,-0.0,-1.3882845049166876e-09
0.00020000800032001282,-0.0,1.388284504540829e-09
0.00020200808032321295,-0.0,-1.388284504651091e-09
0.00020400816032641308,-0.0,1.388284504598707e-09
0.0002060082403296132,-0.0,-1.3882845049520287e-09
0.00020800832033281334,-0.0,1.3882845046162316e-09
0.00021000840033601347,-0.0,-1.3882845048671653e-09
0.00021200848033921357,-0.0,1.3882845045004327e-09
0.0002140085603424137,-0.0,-1.388284504836392e-09
0.00021600864034561384,0.0,1.3882845044801904e-09
0.00021800872034881397,0.0,-1.3882845048406418e-09
0.0002200088003520141,0.0,1.3882845045873959e-09
0.00022200888035521423,0.0,-1.3882845048649423e-09
0.00022400896035841436,0.0,1.388284504917557e-09
0.0002260090403616145,0.0,-1.388284504807056e-09
0.00022800912036481462,0.0,1.38828450448896e-09
0.00023000920036801473,0.0,-1.3882845045920205e-09
0.00023200928037121486,0.0,1.3882845047889577e-09
0.000234009360374415,0.0,-1.3882845045556907e-09
0.00023600944037761512,0.0,1.388284504820714e-09
0.00023800952038081525,0.0,-1.3882845048341453e-09
0.00024000960038401538,0.0,1.3882845046620957e-09
0.00024200968038721551,0.0,-1.3882845047863576e-09
0.00024400976039041565,0.0,1.3882845047228147e-09
0.00024600984039361575,0.0,-1.3882845046373136e-09
0.0002480099203968159,0.0,1.3882845049251304e-09
0.000250010000400016,0.0,-1.38828450434871e-09
0.00025201008040321614,0.0,1.3882845049242106e-09
0.0002540101604064163,0.0,-1.3882845042900536e-09
0.0002560102404096164,0.0,1.3882845050899604e-09
0.00025801032041281654,0.0,-1.3882845045002212e-09
0.00026001040041601667,0.0,1.3882845049413297e-09
0.0002620104804192168,0.0,-1.3882845046369591e-09
0.00026401056042241693,-0.0,1.388284504859806e-09
0.00026601064042561706,-0.0,-1.388284504491011e-09
0.0002680107204288172,-0.0,1.388284504838198e-09
0.0002700108004320173,-0.0,-1.3882845047121161e-09
0.00027201088043521745,-0.0,1.3882845048993267e-09
0.0002740109604384176,-0.0,-1.3882845047435184e-09
0.00027601104044161766,-0.0,1.3882845048908953e-09
0.0002780111204448178,0.0,-1.3882845045907218e-09
0.0002800112004480179,0.0,1.388284504711817e-09
0.00028201128045121806,0.0,-1.3882845047113837e-09
0.0002840113604544182,0.0,1.3882845047578261e-09
0.0002860114404576183,0.0,-1.3882845046163696e-09
0.00028801152046081845,0.0,1.3882845049784521e-09
0.0002900116004640186,0.0,-1.3882845045810992e-09
0.0002920116804672187,0.0,1.3882845047560516e-09
0.00029401176047041884,0.0,-1.3882845047410319e-09
0.000296011840473619,0.0,1.3882845046477249e-09
0.0002980119204768191,0.0,-1.388284504823337e-09
0.00030001200048001924,0.0,1.3882845046020058e-09
0.00030201208048321937,0.0,-1.3882845047804201e-09
0.0003040121604864195,0.0,1.3882845046341279e-09
0.00030601224048961963,0.0,-1.3882845048486158e-09
0.00030801232049281976,0.0,1.3882845043602184e-09
0.0003100124004960199,0.0,-1.3882845047395473e-09
0.00031201248049921997,0.0,1.3882845045229883e-09
0.0003140125605024201,0.0,-1.3882845051171736e-09
0.00031601264050562023,0.0,1.388284504353224e-09
0.00031801272050882036,-0.0,-1.388284505015498e-09
0.0003200128005120205,-0.0,1.3882845043953889e-09
0.0003220128805152206,-0.0,-1.3882845048821416e-09
0.00032401296051842076,-0.0,1.3882845043288875e-09
0.0003260130405216209,-0.0,-1.3882845049445518e-09
0.000328013120524821,-0.0,1.3882845045644784e-09
0.00033001320052802115,0.0,-1.3882845048395487e-09
0.0003320132805312213,0.0,1.388284504564882e-09
0.0003340133605344214,0.0,-1.3882845047128546e-09
0.00033601344053762154,0.0,1.3882845045485314e-09
0.0003380135205408217,0.0,-1.3882845045702544e-09
0.0003400136005440218,0.0,1.3882845047468567e-09
0.00034201368054722194,0.0,-1.3882845047378193e-09
0.00034401376055042207,0.0,1.3882845046053734e-09
0.0003460138405536222,0.0,-1.388284504734361e-09
0.0003480139205568223,0.0,1.3882845047867464e-09
0.0003500140005600224,0.0,-1.3882845044486889e-09
0.00035201408056322254,0.0,1.3882845048522329e-09
0.00035401416056642267,0.0,-1.3882845044342655e-09
0.0003560142405696228,0.0,1.3882845048551933e-09
0.00035801432057282293,0.0,-1.388284504384974e-09
0.00036001440057602306,0.0,1.3882845050040455e-09
0.0003620144805792232,-0.0,-1.3882845046626637e-09
0.0003640145605824233,-0.0,1.3882845048403639e-09
0.00036601464058562346,-0.0,-1.3882845045284082e-09
0.0003680147205888236,-0.0,1.3882845047861372e-09
0.0003700148005920237,-0.0,-1.3882845046457326e-09
0.00037201488059522385,-0.0,1.3882845047279893e-09
0.000374014960598424,0.0,-1.3882845047564025e-09
0.0003760150406016241,0.0,1.3882845046673832e-09
0.00037801512060482424,0.0,-1.3882845048502445e-09
0.0003800152006080244,0.0,1.3882845048659537e-09
0.0003820152806112245,0.0,-1.3882845045882706e-09
0.00038401536061442464,0.0,1.3882845047235961e-09
0.0003860154406176247,0.0,-1.3882845049341666e-09
0.00038801552062082484,0.0,1.388284504390585e-09
0.000390015600624025,0.0,-1.3882845048955658e-09
0.0003920156806272251,0.0,1.388284504396466e-09
